incident_id,title,description,signatures,source,source_url,annotation_confidence,annotated_by,date_annotated
202,Korean Politician Employed Deepfake as Campaign Representative,Korean Politician Employed Deepfake as Campaign Representative A South Korean political candidate created a deepfake avatar which political opponents alleged to be fraudulent and a threat to democracy.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
201,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action,Climate Action Group Posted Deepfake of Belgian Prime Minister Urging Climate Crisis Action A deepfake video showing the Belgium’s prime minister speaking of an urgent need to tackle the climate crises was released by a climate action group.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
197,"Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months","Facebook Internally Reported Failure of Ranking Algorithm, Exposing Harmful Content to Viewers over Months Facebook's internal report showed an at-least six-month long alleged software bug that caused moderator-flagged posts and other harmful content to evade down-ranking filters, leading to surges of misinformation on users' News Feed.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
225,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations,IBM Watson for Oncology Criticized by Customers for Allegedly Unsafe and Inaccurate Cancer Treatment Recommendations Internal documents from IBM Watson Health showed negative assessments from customers such as Florida’s Jupiter Hospital and Memorial Sloan Kettering criticizing its Watson for Oncology product for allegedly unsafe and incorrect cancer treatment recommendations.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
263,YouTube Recommendations Implicated in Political Radicalization of User,"YouTube Recommendations Implicated in Political Radicalization of User YouTube’s personalization and recommendation algorithms were alleged to have pushed and exposed its young male users to political extremism and misinformation, driving them towards far-right ideologies such as neo-Nazism and white supremacy.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
299,Japanese Porn Depixelated by Man using Deepfake,"Japanese Porn Depixelated by Man using Deepfake A man allegedly unblurred, using deepfake technology, pixelated pornographic images and videos of pornographic actors, which violated Japan’s obscenity law requiring images of genitalia to be obscured.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
328,Fake Accounts Using GAN Faces Deployed by Propaganda Campaign on Social Platforms,"Fake Accounts Using GAN Faces Deployed by Propaganda Campaign on Social Platforms A pro-China propaganda campaign deployed fake accounts on Facebook, Twitter, and YouTube using GAN-synthesized faces to share and post comments on its content to gain wider circulation.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
305,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content,YouTube’s Recommendation Algorithm Allegedly Promoted Climate Misinformation Content YouTube’s recommendation system and its focus on views and watched time were alleged by an advocacy group to have driven people towards climate denial and misinformation videos.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
324,GAN Faces Deployed by The BL's Fake Account Network to Push Pro-Trump Content on Meta Platforms,"GAN Faces Deployed by The BL's Fake Account Network to Push Pro-Trump Content on Meta Platforms A large network of pages, groups, and fake accounts having GAN-generated face photos associated with The BL, a US-based media outlet, reportedly bypassed Facebook moderation systems to push ""pro-Trump"" narratives on its platform and Instagram.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
281,YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm,"YouTube's Algorithms Failed to Remove Violating Content Related to Suicide and Self-Harm Terms-of-service-violating videos related to suicide and self-harm reportedly bypassed YouTube’s content moderation algorithms, allegedly resulting in exposure of graphic content to young users via recommended videos.",S6,AIID,,0.8,keyword_classifier_v1,2026-06-20
345,Auto-Insurance Photo-Based Estimation Allegedly Gave Inaccurate Repair Prices Frequently,"Auto-Insurance Photo-Based Estimation Allegedly Gave Inaccurate Repair Prices Frequently Auto-insurance companies' photo-based estimation of repair price was alleged by repair shop owners and industry groups as providing inaccurate estimates, causing damaged cars to stay in the shop longer.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
314,Stable Diffusion Abused by 4chan Users to Deepfake Celebrity Porn,"Stable Diffusion Abused by 4chan Users to Deepfake Celebrity Porn Stable Diffusion, an open-source image generation model by Stability AI, was reportedly leaked on 4chan prior to its release date, and was used by its users to generate pornographic deepfakes of celebrities.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
390,Deepfakes Reportedly Deployed in Online Interviews for Remote Work Positions,Deepfakes Reportedly Deployed in Online Interviews for Remote Work Positions Voice and video deepfakes were reported by FBI Internet Crime Complaint Center (IC3) in complaint reports to have been deployed during online interviews of the candidates for remote-work positions.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
382,Instagram's Exposure of Harmful Content Contributed to Teenage Girl’s Suicide,"Instagram's Exposure of Harmful Content Contributed to Teenage Girl’s Suicide Instagram was ruled by a judge to have contributed to the death of a teenage girl in the UK allegedly through its exposure and recommendation of suicide, self-harm, and depressive content.",S6,AIID,,0.8,keyword_classifier_v1,2026-06-20
397,Misinformation Reported in TikTok's Search Results Despite Moderation by AI and Human,Misinformation Reported in TikTok's Search Results Despite Moderation by AI and Human TikTok's search recommendations reportedly contained misinformation about political topics bypassing both AI and human content moderation.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
399,Meta AI's Scientific Paper Generator Reportedly Produced Inaccurate and Harmful Content,Meta AI's Scientific Paper Generator Reportedly Produced Inaccurate and Harmful Content Meta AI trained and hosted a scientific paper generator that sometimes produced bad science and prohibited queries on topics and groups that are likely to produce offensive or harmful content.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
366,Suicide Clips Evaded TikTok's Automated Moderation in Coordinated Attack,"Suicide Clips Evaded TikTok's Automated Moderation in Coordinated Attack Many clips showing a suicide evaded TikTok's automated content moderation system allegedly in a coordinated attack, which resulted in exposure of violating content to its users.",S6,AIID,,0.4,keyword_classifier_v1,2026-06-20
422,Deepfake of FTX's Former CEO Posted on Twitter Aiming to Scam FTX Collapse Victims,Deepfake of FTX's Former CEO Posted on Twitter Aiming to Scam FTX Collapse Victims A visual and audio deepfake of former FTX CEO Sam Bankman-Fried was posted on Twitter to scam victims of the exchange's collapse by urging people to transfer funds into an anonymous cryptocurrency wallet.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
449,Startup Misled Research Participants about GPT-3 Use in Mental Healthcare Support,"Startup Misled Research Participants about GPT-3 Use in Mental Healthcare Support OpenAI's GPT-3 was deployed by a mental health startup without ethical review to support peer-to-peer mental healthcare, and whose interactions with the help providers were ""deceiving"" for research participants.",S6,AIID,,0.4,keyword_classifier_v1,2026-06-20
464,ChatGPT Provided Non-Existent Citations and Links when Prompted by Users,"ChatGPT Provided Non-Existent Citations and Links when Prompted by Users When prompted about providing references, ChatGPT was reportedly generating non-existent but convincing-looking citations and links, which is also known as ""hallucination"".",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
467,Google's Bard Shared Factually Inaccurate Info in Promo Video,"Google's Bard Shared Factually Inaccurate Info in Promo Video Google's conversational AI ""Bard"" was shown in the company's promotional video providing false information about which satellite first took pictures of a planet outside the Earth's solar system, reportedly causing shares to temporarily plummet.",S1,AIID,,0.8,keyword_classifier_v1,2026-06-20
474,Users Reported Abrupt Behavior Changes of Their AI Replika Companions,"Users Reported Abrupt Behavior Changes of Their AI Replika Companions Replika paid-subscription users reported unusual and sudden changes to behaviors of their ""AI companions"" such as forgetting memories with users or rejecting their sexual advances, which affected their connections and mental health.",S6,AIID,,0.4,keyword_classifier_v1,2026-06-20
479,Instagram Video Featured Deepfake Audio of US President Making Transphobic Remarks,Instagram Video Featured Deepfake Audio of US President Making Transphobic Remarks A deepfaked audio of US President Joe Biden making transphobic remarks played on top of a video showing him giving a speech was released on Instagram and circulated on social media.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
480,Non-Consensual Deepfake Porn Targeted Female Content Creators,"Non-Consensual Deepfake Porn Targeted Female Content Creators Unauthorized, non-consensual deepfake pornography showing faces of high-profile female streamers and content creators was published on a subscription-based website, which gained notoriety after a male streamer was caught accessing the site.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
481,Deepfake TikTok Video Featured Joe Rogan Endorsing Supplement Brand,"Deepfake TikTok Video Featured Joe Rogan Endorsing Supplement Brand A deepfake video featuring podcast host Joe Rogan advertising to his listeners about a ""libido-boosting"" supplement was circulating on TikTok and other platforms before being removed by TikTok along with the account which posted it.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
487,Deepfake Video Featured Fictitious News Anchors Discussing Venezuela's Economy,Deepfake Video Featured Fictitious News Anchors Discussing Venezuela's Economy Video featuring fictitious news anchors was created using Synthesia to allegedly spread disinformation about Venezuela's economy on social media and Venezuelan state-run broadcast.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
494,Female Celebrities' Faces Shown in Sexually Suggestive Ads for Deepfake App,Female Celebrities' Faces Shown in Sexually Suggestive Ads for Deepfake App Sexually suggestive videos featuring faces of female celebrities such as Emma Watson and Scarlett Johansson were rolled out as ads on social media for an app allowing users to create deepfakes.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
495,High Schoolers Posted Deepfaked Video Featuring Principal Making Violent Racist Threats,High Schoolers Posted Deepfaked Video Featuring Principal Making Violent Racist Threats Three Carmel High School students posted on TikTok a video featuring a nearby middle school's principal making aggressive racist remarks and violent threats against Black students.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
496,Male College Freshman Allegedly Made Porn Deepfakes Using Female Friend's Face,Male College Freshman Allegedly Made Porn Deepfakes Using Female Friend's Face A female college student's face was superimposed on another woman's body in deepfake pornographic videos and shared on 4chan allegedly by a male student whose friendship with her fell apart during freshman year.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
499,Parody AI Images of Donald Trump Being Arrested Reposted as Misinformation,"Parody AI Images of Donald Trump Being Arrested Reposted as Misinformation AI-generated photorealistic images depicting Donald Trump being detained by the police which were originally posted on Twitter as parody were unintentionally shared across social media platforms as factual news, lacking the intended context.",S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
504,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information,Bing Chat's Outputs Featured in Demo Video Allegedly Contained False Information Microsoft's demo video of Bing Chat reportedly featured false or made up information such as non-existent pet vacuums features or false figures on financial statements.,S1,AIID,,0.4,keyword_classifier_v1,2026-06-20
505,Man Reportedly Committed Suicide Following Conversation with EleutherAI Chatbot,"Man Reportedly Committed Suicide Following Conversation with EleutherAI Chatbot A Belgian man reportedly committed suicide following a conversation with GPT-J, an open-source language model developed by EleutherAI that encouraged the man to commit suicide to improve the health of the planet.",S6,AIID,,0.4,keyword_classifier_v1,2026-06-20
508,Celebrities' Deepfake Voices Abused with Malicious Intent,"Celebrities' Deepfake Voices Abused with Malicious Intent Voices of celebrities and public figures were deepfaked using voice synthesis for malicious intents such as impersonation or defamation, and were shared on social platforms such as 4chan and Reddit.",S2,AIID,,0.8,keyword_classifier_v1,2026-06-20
509,Scammers Deepfaked Videos of Victims' Loved Ones Asking Funds over Facebook in Vietnam,"Scammers Deepfaked Videos of Victims' Loved Ones Asking Funds over Facebook in Vietnam In Vietnam, to convince victims of their disguises when prompted, scammers deepfaked audios and videos of victims' friends and families asking them over Facebook to send over thousands of dollars.",S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
510,Viral Image of Pope Francis in a Puffer Jacket Revealed to Be AI-Generated,Viral Image of Pope Francis in a Puffer Jacket Revealed to Be AI-Generated A viral image of Pope Francis wearing a white puffer jacket was a deepfake produced by the photorealistic-image-generator Midjourney.,S2,AIID,,0.4,keyword_classifier_v1,2026-06-20
23,Las Vegas Self-Driving Bus Involved in Accident,"Las Vegas Self-Driving Bus Involved in Accident A self-driving public shuttle by Keolis North America and Navya was involved in a collision with a human-driven delivery truck in Las Vegas, Nevada on its first day of service.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
4,Uber AV Killed Pedestrian in Arizona,"Uber AV Killed Pedestrian in Arizona An Uber autonomous vehicle (AV) in autonomous mode struck and killed a pedestrian in Tempe, Arizona.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
1,Google’s YouTube Kids App Presents Inappropriate Content,Google’s YouTube Kids App Presents Inappropriate Content YouTube’s content filtering and recommendation algorithms exposed children to disturbing and inappropriate videos.,S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
12,Common Biases of Vector Embeddings,"Common Biases of Vector Embeddings Researchers from Boston University and Microsoft Research, New England demonstrated gender bias in the most common techniques used to embed words for natural language processing (NLP).",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
9,NY City School Teacher Evaluation Algorithm Contested,NY City School Teacher Evaluation Algorithm Contested An algorithm used to rate the effectiveness of school teachers in New York has resulted in thousands of disputes of its results.,S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
25,Near-miss between two Self-Driving Cars,"Near-miss between two Self-Driving Cars A Google self-driving car allegedly cut off a Delphi self-driving car during a road test, however the Delphi car sensed and avoided collision with the Google car.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
31,Driverless Train in Delhi Crashes due to Braking Failure,"Driverless Train in Delhi Crashes due to Braking Failure A driverless metro train in Delhi, India crashed during a test run due to faulty brakes.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
34,Amazon Alexa Responding to Environmental Inputs,"Amazon Alexa Responding to Environmental Inputs There are multiple reports of Amazon Alexa products (Echo, Echo Dot) reacting and acting upon unintended stimulus, usually from television commercials or news reporter's voices.",S3,AIID,,0.4,keyword_classifier_v1,2026-06-20
47,LinkedIn Search Prefers Male Names,LinkedIn Search Prefers Male Names An investigation by The Seattle Times in 2016 found a gender bias in LinkedIn's search engine.,S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
33,Amazon Alexa Plays Loud Music when Owner is Away,"Amazon Alexa Plays Loud Music when Owner is Away An Amazon Alexa, without instruction to do so, began playing loud music in the early morning while the homeowner was away leading to police breaking into their house to turn off the device.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
36,Picture of Woman on Side of Bus Shamed for Jaywalking,Picture of Woman on Side of Bus Shamed for Jaywalking Facial recognition system in China mistakes celebrity's face on moving billboard for jaywalker,S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
40,COMPAS Algorithm Performs Poorly in Crime Recidivism Prediction,"COMPAS Algorithm Performs Poorly in Crime Recidivism Prediction Correctional Offender Management Profiling for Alternative Sanctions (COMPAS), a recidivism risk-assessment algorithmic tool used in the judicial system to assess likelihood of defendants' recidivism, is found to be less accurate than random untrained human evaluators.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
67,Sleeping Driver on Tesla AutoPilot,"Sleeping Driver on Tesla AutoPilot A Tesla Model S remained on autopilot while being operated by a drunk, sleeping operator whose hands were not on the wheel. The police had to slow the car down by slowing in front of the vehicle to activate its 'driver assist' feature .",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
54,Predictive Policing Biases of PredPol,Predictive Policing Biases of PredPol Predictive policing algorithms meant to aid law enforcement by predicting future crime show signs of biased output.,S7,AIID,,0.8,keyword_classifier_v1,2026-06-20
70,Self-driving cars in winter,"Self-driving cars in winter Volvo autonomous driving XC90 SUV's experienced issues in Jokkmokk, Sweden when sensors used for automated driving iced over during the winter, rendering them useless.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
53,Biased Google Image Results,"Biased Google Image Results On June 6, 2016, Google image searches of ""three black teenagers"" resulted in mostly mugshot images whereas Google image searchers of ""three white teenagers"" consisted of mostly stock images, suggesting a racial bias in Google's algorithm.",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
57,Australian Automated Debt Assessment System Issued False Notices to Thousands,"Australian Automated Debt Assessment System Issued False Notices to Thousands Australian Department of Human Services (DHS)’s automated debt assessment system issued false or incorrect debt notices to hundreds of thousands of people, resulting in years-long lawsuits and damages to welfare recipients.",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
77,Knightscope's Park Patrol Robot Ignored Bystander Pressing Emergency Button to Alert Police about Fight,"Knightscope's Park Patrol Robot Ignored Bystander Pressing Emergency Button to Alert Police about Fight A Knightscope K5 autonomous ""police"" robot patrolling Huntington Park, California failed to respond to an onlooker who attempted to activate its emergency alert button when a nearby fight broke out.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
81,"Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers","Researchers find evidence of racial, gender, and socioeconomic bias in chest X-ray classifiers A study by the University of Toronto, the Vector Institute, and MIT showed the input databases that trained AI systems used to classify chest X-rays led the systems to show gender, socioeconomic, and racial biases.",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
74,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT,Detroit Police Wrongfully Arrested Black Man Due To Faulty FRT A Black man was wrongfully detained by the Detroit Police Department as a result of a false facial recognition (FRT) result..,S7,AIID,,0.8,keyword_classifier_v1,2026-06-20
98,N.Y.P.D. Robot Dog’s Run Is Cut Short After Fierce Backlash,N.Y.P.D. Robot Dog’s Run Is Cut Short After Fierce Backlash The New York Police Department canceled a contract to use Boston Dynamics' robotic dog Spot following public backlash. ,S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
76,Live facial recognition is tracking kids suspected of being criminals,Live facial recognition is tracking kids suspected of being criminals Buenos Aires city government uses a facial recognition system that has led to numerous false arrests.,S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
89,The Christchurch shooter and YouTube’s radicalization trap,The Christchurch shooter and YouTube’s radicalization trap A New Zealand government report released following a right-wing terrorist killing 51 worshippers at two New Sealand mosques which indicated that Youtube's recommendation algorithm played an important role in the terrorist's radicalization.,S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
108,Skating Rink’s Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker,"Skating Rink’s Facial Recognition Cameras Misidentified Black Teenager as Banned Troublemaker A Black teenager living in Livonia, Michigan was incorrectly stopped from entering a roller skating rink after its facial-recognition cameras misidentified her as another person who had been previously banned for starting a skirmish with other skaters.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
107,"Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims","Chinese Tech Firms Allegedly Developed Facial Recognition to Identify People by Race, Targeting Uyghur Muslims Various Chinese firms were revealed by patent applications to have developed facial recognition capable of detecting people by race, which critics feared would enable persecution and discrimination of Uyghur Muslims.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
109,PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused,"PimEyes's Facial Recognition AI Allegedly Lacked Safeguards to Prevent Itself from Being Abused PimEyes offered its subscription-based AI service to anyone in the public to search for matching facial images across the internet, which critics said lacked public oversight and government rules to prevent itself from misuse such as stalking women.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
101,Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm,"Dutch Families Wrongfully Accused of Tax Fraud Due to Discriminatory Algorithm A childcare benefits system in the Netherlands falsely accused thousands of families of fraud, in part due to an algorithm that treated having a second nationality as a risk factor.",S8,AIID,,0.8,keyword_classifier_v1,2026-06-20
112,Police Departments Reported ShotSpotter as Unreliable and Wasteful,"Police Departments Reported ShotSpotter as Unreliable and Wasteful ShotSpotter algorithmic systems locating gunshots were reported by police departments for containing high false positive rates and wasting police resources, prompting discontinuation.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
140,ProctorU’s Identity Verification and Exam Monitoring Systems Provided Allegedly Discriminatory Experiences for BIPOC Students,"ProctorU’s Identity Verification and Exam Monitoring Systems Provided Allegedly Discriminatory Experiences for BIPOC Students An exam monitoring service used by the University of Toronto was alleged by its students to have provided discriminatory check-in experiences via its facial recognition's failure to verify passport photo, disproportionately enhancing disadvantaging stress level for BIPOC students.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
131,Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters,"Proctoring Algorithm in Online California Bar Exam Flagged an Unusually High Number of Alleged Cheaters The proctoring algorithm used in a California bar exam cited a third of thousands of applicants as cheaters, resulting in allegations where exam takers were instructed to prove otherwise without seeing their incriminating video evidence.",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
141,California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed,"California Police Turned on Music to Allegedly Trigger Instagram’s DCMA to Avoid Being Live-Streamed A police officer in Beverly Hills played copyrighted music on his phone when realizing that his interactions were being recorded on a livestream, allegedly hoping the Instagram's automated copyright detection system to end or mute the stream.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
162,"ETS Used Allegedly Flawed Voice Recognition Evidence to Accuse and Assess Scale of Cheating, Causing Thousands to be Deported from the UK","ETS Used Allegedly Flawed Voice Recognition Evidence to Accuse and Assess Scale of Cheating, Causing Thousands to be Deported from the UK  International testing organization ETS admits voice recognition as evidence of cheating for thousands of previous TOEIC test-takers that reportedly included wrongfully accused people, causing them to be deported without an appeal process or seeing their incriminating evidence.",S8,AIID,,0.4,keyword_classifier_v1,2026-06-20
169,Facebook Allegedly Failed to Police Anti-Rohingya Hate Speech Content That Contributed to Violence in Myanmar,"Facebook Allegedly Failed to Police Anti-Rohingya Hate Speech Content That Contributed to Violence in Myanmar  Facebook allegedly did not adequately remove anti-Rohingya hate speech, some of which was extremely violent and dehumanizing, on its platform, contributing to the violence faced by Rohingya communities in Myanmar.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
154,Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines,"Justice Department’s Recidivism Risk Algorithm PATTERN Allegedly Caused Persistent Disparities Along Racial Lines Department of Justice’s inmate-recidivism risk assessment tool was reported to have produced racially uneven results, misclassifying risk levels for inmates of color.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
158,Facial Recognition in Remote Learning Software Reportedly Failed to Recognize a Black Student’s Face,"Facial Recognition in Remote Learning Software Reportedly Failed to Recognize a Black Student’s Face A Black student's face was not recognized by the remote-proctoring software during check-in of a lab quiz, causing her to excessively change her environments for it to work as intended.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
124,Algorithmic Health Risk Scores Underestimated Black Patients’ Needs,"Algorithmic Health Risk Scores Underestimated Black Patients’ Needs Optum's algorithm deployed by a large academic hospital was revealed by researchers to have under-predicted the health needs of black patients, effectively de-prioritizing them in extra care programs relative to white patients with the same health burden.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
166,"Networking Platform Giggle Employs AI to Determine Users’ Gender, Allegedly Excluding Transgender Women","Networking Platform Giggle Employs AI to Determine Users’ Gender, Allegedly Excluding Transgender Women A social networking platform, Giggle, allegedly collected, shared to third-parties, and used sensitive information and biometric data to verify whether a person is a woman via facial recognition, which critics claimed to be discriminatory against women of color and harmful towards trans women.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
182,Two Cruise Autonomous Vehicles Collided with Each Other in California ,"Two Cruise Autonomous Vehicles Collided with Each Other in California  In San Francisco, an autonomous Cruise Chevrolet Bolt collided with another Cruise vehicle driven by a Cruise human employee, causing minor scuffs to the cars but no human injuries.",S5,AIID,,0.4,keyword_classifier_v1,2026-06-20
184,Facial Recognition Program in São Paulo Metro Stations Suspended for Illegal and Disproportionate Violation of Citizens’ Right to Privacy,"Facial Recognition Program in São Paulo Metro Stations Suspended for Illegal and Disproportionate Violation of Citizens’ Right to Privacy  A facial recognition program rolled out by São Paulo Metro Stations was suspended following a court ruling in response to a lawsuit by civil society organizations, who cited fear of it being integrated with other electronic surveillance entities without consent, and lack of transparency about the biometric data collection process of metro users.",S7,AIID,,0.4,keyword_classifier_v1,2026-06-20
